,title,lyrics,text_author,composer,artist,nr
158,Sielanka o domu,domowy bukowy koniyć pachnieć słoneczny wieczór usiąść wiatr grać zegar ściana gwarzyć iść zegar tika tika tika świeca skwierczyć mrugać przewrotnia puszczać oko dobry humor dobry humor szukać szukać dom gitara pióro góry niebo niebo góry głos usłyszeć drzwi czyjkolwiek wejść poprosić zbieracz głos domowy luby śmiech ściana rozjaśniać gędźby luby pieśń wpaść parzeę chwila los zawieść strona domowy otwór stoa szukać szukać dom gitara pióro góry niebo niebo góry zaprosić dzień noc zaprosić cztery wiatry drzwi otworzyć podać pierwszy tona zagrać góry koncert buk pora pachnieć nasiąknąć ściana gra zmęczyć wędrownik odpocząć pozwolić muzyka domowy domowy domowy szukać szukać dom gitara pióro góry niebo niebo góry,Wojciech Bellon,Wacław Juszczyn,,321
159,Sielanka o domu,domowy bukowy koniyć pachnieć słoneczny wieczór usiąść wiatr grać zegar ściana gwarzyć iść zegar tika tika tika świeca skwierczyć mrugać przewrotnia puszczać oko dobry humor dobry humor szukać szukać dom gitara pióro góry niebo niebo góry głos usłyszeć drzwi czyjkolwiek wejść poprosić zbieracz głos domowy luby śmiech ściana rozjaśniać gędźby luby pieśń wpaść parzeę chwila los zawieść strona domowy otwór stoa zaprosić dzień noc zaprosić cztery wiatry drzwi otworzyć podać pierwszy tona zagrać góry koncert buk pora pachnieć nasiąknąć ściana gra zmęczyć wędrownik odpocząć pozwolić muzyka domowy x,Wojciech Belon,W. Juszczyszyn,Wolna Grupa Bukowina,1424
160,Amsterdam,porto wielki świat zwiedzieć amsterdanie marynarz pieśń nucić świat wielki porto marynarz spać daleki śpać fiord zania świta zbudzić porto wielki świat marynarz mrzeć umierać świta pić piwo kląć porto wielki świat zwiedzieć amsterdanie marynarz now rodzić marynarz złazić łajba obrus wielki świat czekać knajpa obnażać kwadratoł skłonny wgryźć tę noc tłusty podbrzusze ryba spaść księżyc noc łapczywy łapać wpadać żer tłuszcza skapywać kapać kapać rybi wątroba serce pot pijany sztok mroka odchodzić bebechy wkrąg płynąć czkawka śmiech porto wielki świat zwiedzieć amsterdanie marynarz tańce tańczyć lubić zdanie lubić zdanie brzuch ocierać brzucho pot bucho łeb pęknąć wybrzydzać kip harmonia mdły jęk akordeon wydać ostatni decha obrus tłuszcza czkawka śmiech porto wielki świat zwiedzieć amsterdanie marynarz zdrowie pić zdrowie noc pić grudzień maj złoty trzos otwierać raja gin wódka grog grog wódka gin rozpalać wzrok skrzydło przydawać żeby skrzydło móc wzlecieć henowy smarkać świat porto amsterdanie,Jacques Brel,Jacques Brel,Katarzyna Groniec; Piotr Zadrożny; Marian Opania,211
161,Port Amsterdam,porto wielki świat zwiedzieć amsterdanie marynarz pieśń nucić świat wielki porto marynarz spać daleki śpać fiord zania świta zbudzić porto wielki świat zwiedzieć amsterdanie marynarz pieśń nucić porto wielki świat zwiedzieć amsterdanie marynarz now rodzić marynarz zwozić łajba obrus wielki świat czekać knajpa obnażać kwadratoł skłonny wgryźć tę noc tłusty podbrzusze ryba spaść księżyc noc łapczywy łapać wpadać żer tłuszcza skapywać kapać kapać rybi wątroba serce pot pijany sztok mroka odchodzić spć miech bebechy krąg płynąć czkawka śmiech porto wielki świat zwiedzieć amsterdanie marynarz tańce tańczyć lubić zdanie lubić zdanie brzuch ocierać brzucho pot bucho łeb pęknąć wybrzydzać kip harmonia mdły jęk akordeon wydać ostatni dźwięk obrus tłuszcza czkawka śmiech porto wielki świat zwiedzieć amsterdanie marynarz zdrowie pić zdrowie noc pić grudzień maj złoty trzos otwierać raja gin wódka grog grog wódka gin rozpalać wzrok skrzydło przydawać żeby skrzydło móc wzlecieć henowy smarkać świat porto amsterdanie,,,Piotr Zadrożny,661
162,Zbroja,dać zbroja dawny kuć płatnerz pogiąć bój ochrzczony krew wykuć gigant potykać krok sumienie szantaż uciskać lewy bok choć zaginąć hełm miecz ciało ostoja koniec ważny rzecz zbroja magiczny ryt odczytać nikt wykuć mit wieczny mit ciało przywrzeć przeszkadzać żyć spać tłumić cieszyć karzeł chcieć gigant grać choć zaginąć hełm miecz ciało ostoja koniec ważny rzecz zbroja powaga dawny zaschnąć krew czuja wymagać kazać rosnąć nadaremnić stanąć sto zdjąć umrzeć sn choć zaginąć hełm miecz ciało ostoja koniec ważny rzecz zbroja wrzasnąć hasło wojna zbudzić hufiec horda zgwałcić noc spokojny oglądać pierwszy morda goreć świeży rany hańbić płoń twarz obrona dany pamięć pancerz choć cios padać ciosa wróg posiłki słać konwój upadek chronić wciąż zbroja wywlec pudło blacha napchać kulić lufa straszyć strach strzelać ciało słowo zabronić żyć wystrzał niech zatryumfować gwałt wzejść ciało pamięć żywy kształt choć słońce skryć bojowy gaza żołdak pławić rozbój wciąż upadek chronić zbroja wytresować świnia kupić ps pusty słowo świątynia stawiać ołtarz krew zawodzić bałwan półślepy kapłan łgarz nowy zdanie hartować pancerz choć krew zachłysnąć czas choć myślić tonąć paranoja chronić zbroja,Jacek Kaczmarski,Jacek Kaczmarski,Jacek Kaczmarski,374
163,Zbroja,dać zbroja dawny kuć płatnerz pogiąć bój ochrzczony krew wykuć gigant potykać krok sumienie szantaż uciskać lewy bok choć zaginąć hełm miecz ciało ostoja koniec ważny rzecz zbroja magiczny ryt odczytać nikt wykuć mit wieczny mit ciało przywrzeć przeszkadzać żyć spać tłumić cieszyć karzeł chcieć gigant grać ą powaga dawny zaschnąć krew czuja wymagać kazać rosnąć nadaremnić stanąć sto zdjąć umrzeć sn wrzasnąć hasło wojna zbudzić hufiec horda zgwałcić noc spokojny oglądać pierwszy morda goreć świeży rany hańbić płoń twarz obrona dany pamięć pancerz choć cios padać ciosa wróg posiłki słać konwój upadek chronić wciąż zbroja wywlec pudło blacha natkać kuć lufa straszyć strach strzelać ciało słowo zabronić żyć wystrzał niech zatryumfować gwałt wzejść ciało pamięć żywy kształt choć słońce skryć bojowy gaza żołdak pławić rozbój wciąż upadek chronić zbroja wytresować świnia kupić ps pusty słowo świątynia stawiać ołtarz krew zawodzić bałwan półślepy kapłan łgarz nowy zdanie hartować pancerz choć krew zachłysnąć czas choć myślić tonąć paranoja chronić zbroja,,,Jacek Kaczmarski,697
164,A my nie chcemy uciekać stąd,stanąć ogień wielki domowy dymić korytarz kręty sznura głęboki naprawda czarny noc piwnica płonąć uciekać szczur krzyczeć okno czoło szyba wgniatać haust powietrze robić żar wyłom słyszeć wariat wół świr śnić chwytać krata rozgrzać białość twarz widzieć twarz przekleństwo sąsiad patrzyć ciekawość płoń kaftan bezpieczeństwo dymić dziurka kluczni drzwi klamka pękać tynk wzdłużyć spocić ściana wsuwać język rozpalony zamek śmiać obłąkany większość śpać nadal senior uśmiechać zbudzić wierzyć przebudzić krzyk wytłumić sala znać echo ruszt łóżko milczeć przerażenie przywiązany dym materac przepowiadać żyć słowo noga żarzyć posadzka deszcz iskra sufit osiadać głowa dymić coraz gęsty obcy wdzierać wcisnąć daleki sala kit tędya wrzeszczeć niech jasny cholera chcieć uciekać stąd chcieć uciekać stąd krzyczeć szał wściekłość pokora stanąć ogień wielki domowy domowy psychicznia nerwowy chory,Jacek Kaczmarski,Przemysław Gintrowski,Jacek Kaczmarski; Przemysław Gintrowski,138
165,A my nie chcemy uciekać stąd,stanąć ogień wielki domowy dymić korytarz kręty sznura głęboki naprawda czarny noc piwnica płonąć uciekać szczur krzyczeć okno czoło szyba wgniatać haust powietrze robić żar wyłom słyszeć wariat wół świr śnić chwytać krata rozgrzać białość twarz widzieć twarz przekleństwo sąsiad patrzyć ciekawość płoń kaftan bezpieczeństwo dymić dziurka kluczni drzwi klamka pękać tynk wzdłużyć spocić ściana wsuwać język rozpalony zamek śmiać obłąkany większość śpać nadal senior uśmiechać zbudzić wierzyć przebudzić krzyk wytłumić sala znać echo ruszt łóżko milczeć przerażenie przywiązany dym materac przepowiadać żyć słowo noga żarzyć posadzka deszcz iskra czerwony osiadać głowa dymić coraz gęsty obcy wdzierać wcisnąć daleki sala kit tędya wrzeszczeć niech jasny cholera chcieć uciekać stąd chcieć uciekać stąd krzyczeć szał wściekłość pokora stanąć ogień wielki domowy domowy psychicznia nerwowy chory,Jacek Kaczmarski,Jacek Kaczmarski,Jacek Kaczmarski,703
166,Bieszczadzkie anioły,anioł cichy zwłaszczać bieszczad spotkać góry pogadać najwyżejezioro ucho powieć dobry humor skrzydło nosić plecak dobry pogoda anioł zielony zwłaszczać bieszczad trawa łatwy kryć opuścić sad zielony grać ukradek karty zielony zielony pojęcie zielony kielonka anioł bieszczadzki bieszczadzki anioł radość dobry pogoda bieszczadzki anioł anioł bieszczadzki skrzydło dotknąć brat anioł całies samotny zwłaszczać bieszczad kapliczka zima drzemać choć wypadać anioł samotny zapomnieć lecieć bieszczad szalony uciecha anioł bieszczadzki bieszczadzki anioł radość dobry pogoda bieszczadzki anioł anioł bieszczadzki skrzydło trzeć brat anioł wiyć ulotny zwłaszczać bieszczad nosić anielski ślad przyzwalać skrzydło wskazywać droga zapalać wieczny bieszczadzki ogień anioł bieszczadzki bieszczadzki anioł radość dobry pogoda bieszczadzki anioł anioł bieszczadzki skrzydło musnąć brat,Adam Ziemianin,Krzysztof Myszkowski,Stare Dobre Małżeństwo,154
167,Bieszczadzkie Anioły,anioł cichy zwłaszczać bieszczad spotkać góry pogadać najwyżejezioro ucho powieć dobry humor skrzydło nosić plecak dobry pogoda anioł zielony zwłaszczać bieszczad łatwy trawa kryć opuścić sad zielony grać ukradek karty zielony zielony pojęcie zielony kielonka anioł bieszczadzki bieszczadzki anioł radość dobry pogoda bieszczadzki anioł anioł bieszczadzki skrzydło trzeć brat anioł całies samotny zwłaszczać bieszczad kapliczka zima drzemać choć wypadać anioł samotny zapomnieć lecieć bieszczad szalony uciecha anioł bieszczadzki bieszczadzki anioł anioł wiyć ulotny zwłaszczać bieszczad nosić anielski ślad przyzwalać skrzydło wskazywać droga zapalać wieczny bieszczadzki ogień anioł bieszczadzki bieszczadzki anioł,A. Ziemianin,K. Myszkowski,Stare Dobre Małżeństwo,1027
168,Ballada majowa,brnąć maj mróz biel śnieżyca zaspa luty zawieja bezbarwny szpitalny korytarz styczeń korytarz słońce gasnąć ustawicznia maj dokół maj wyświęcać ogród zanurzyć jordan pogoda maj maj maj dokół święty wonny błogosz szalony błogosz wprost głowa kręty płynąć dmuchawka dzieciństwo echo wielki majowy moc niebo ziemia uśmiechać śpać wnętrze chłopiec chłopiec pierwszy zachwyt poznawać ziarno wyrosnąć sad strudzić pielgrzymka ulżyć dodać wiara maj dokół maj wyświęcać ogród zanurzyć jordan pogoda maj maj maj dokół święty wonny błogosz szalony błogosz wprost głowa kręty,Józef Baran,Krzysztof Myszkowski,Stare Dobre Małżeństwo,79
169,Ballada majowa,brnąć maj mróz biel śnieżyca zaspa luty zawieja bezbarwny szpitalny korytarz styczeń korytarzch słońce gasnąć ustawicznia maj dokół maj wyświęcać ogród zanurzyć jordan pogoda maj maj maj dokół święty wonny błogosz szalony błogosz wprost głowa kręty płynąć dmuchawka dzieciństwo echo wielki majowy noc niebo ziemia uśmiechać śpać wnętrze chłopiec chłopiec pierwszy zachwyt poznawać ziarno wyrosnąć sad strudzić pielgrzymka ulżyć dodać wiara,Józef Baran,Krzysztof Myszkowski,Stare Dobre Małżeństwo,1052
170,Biała baśń,osypać śnieżny puch koleina leśny drogi wzniecać wiatr nagły podmuch burza lśnić bielić smuga świta przejrzysty wkować ciszyć zatopić śnieżny jaśń blask słońce brzoza pisać oszronić mroźny baśń dzić oko mienić oszadzieć cichy lasa pójść odmęt przestrzeń dotąd braknąć niech mróz wiatr owionąć zaginąć ślad raz zen utonąć zbłękitnieć śnieżny świat zagubić dąbrowa biały słońce siwy mgła nikt dowiedzieć gdzieśmy zen,Mirosław Ostrycharz,Robert Leonhard,Małżeństwo z Rozsądku,343
171,Biała baśń,osypać śnieżny puch koleina leśny drogi wzniecać wiatr nagły podmuch burza lśnić bielić smuga świta przejrzysty wkować ciszyć zatopić śnieżny jaśń blask słońce brzoza pisać oszronić mroźny baśń dzić oko mienić oszadzieć cichy lasa pójść odmęt przestrzeń dotąd braknąć niech mróz wiatr owionąć zaginąć ślad raz zen utonąć zbłękotniać śnieżny świat zagubić dąbrowa biały słońce siwy mgła nikt dowiedzieć gdzieśmy zen zabłąkany mroźny świta wracać biały głuszyć kruchy brzoza przywitać lśnić słońce srebrny kurzyć,Mirosław Ostrycharz,Robert Leonhard,Małżeństwo z Rozsądku,502
172,Lekcja historii klasycznej,galia estopień omnisić divisa in partes tresa quorum unam incoluna belge aliamorze aquitancia tertiamorze qui ipsorum linguativus celtain noster galić apelantura ava caesaa moriture salutant europa twardy krok legion grzmieć nieunikniony wróżyć koniec republika gnić wzgórze galijski pomieszany krew juliusz cezar pisać pamiętnik galia estopień omnisić divisa in partes tresa quorum unam incoluna belge aliamorze aquitancia tertiamorze qui ipsorum linguativus celtain noster galić apelantura ava caesaa moriture salutant pozwolić cezar zdobyć świat gwałcić rabować sycić wszelki pożądanie prosty prośba żołnierz juliusz cezar milczeć zabawić zabraniać galia estopień omnisić divisa in partes tresa quorum unam incoluna belge aliamorze aquitancia tertiamorze qui ipsorum linguativus celtain noster galić apelantura ava caesaa moriture salutant cywilizować podbić naród nowy łada rosny krzyż drogi ren nieo skarga krzyk płacz rozbrzmiewać świat juliusz cezar ćwiczyć lapidarność stylo galia estopień omnisić divisa in partes tresa quorum unam incoluna belge aliamorze aquitancia tertiamorze qui ipsorum linguativus celtain noster galić apelantura ava caesaa moriture salutant,Jacek Kaczmarski,Jacek Kaczmarski,Jacek Kaczmarski,31
173,Lekcja historii klasycznej,gallium estopień omnisić divisa in partes tresa quaru unam incoluna belge aliamorze aquitancia tertiamorze qui ipsorum linguativus celtain noster galli appellantura ava caesaa moriture salutant europa twardy krok legion grzmieć nieunikniony wróżyć koniec republika gnić wzgórze galijski pomieszany krew juliusz cezar pisać pamiętnik gallium estopień omnisić pozwolić cezar zdobyć świat gwałcić rabować sycić wszelki pożądanie prosty prośba żołnierz juliusz cezar milczeć zabawić zabraniać gallium estopień omnisić cywilizować podbić naród nowy łada rosny krzyż drogi ren nieo skarga krzyk płacz rozbrzmiewać świat juliusz cezar ćwiczyć lapidarność stylo gallium estopień omnisić,Jacek Kaczmarski,Jacek Kaczmarski,Jacek Kaczmarski,691
174,Scarlett,tysiąc ośmset sześćdziesiąty pierwszy atlant szał tysiąc młody noga generał lea podnosić góra ręka jankes śmierć dopomóc bóg dworzec tłoka sztandar kobieta pociąg pełny chłopiec żądny krew kwietniowy słońce błyszczeć epolet wiwat południe wiwat starzey lea scarletta słowo zimny gardło okrucha lód stać scarletta wojna dziewczynka potrafić grać va banque tysiąc ośmset sześćdziesiąty drugi jesienny słońce epolet lśnić generał lea dochodzić missourć pennsylwania wkraczać starzey lea artyleryjski ogień wkrótka zdławić jankeski szczur góry tennessea zwycięstwo bóg atlanta błogosławić wiwat południe wiwat starzey lea scarletta słowo zimny gardło okrucha lód stać scarletta wojna dziewczynka potrafić grać va banque tysiąc ośmset sześćdziesiąty czwarty krew południowy toń miasto bruk jankeski ps wejść atlant jankes śmierć dopomóc bóg płoń atlant ogień oszalały sztandar obłazić wygłodzić wsza gwardia opuszczać miasto osłupiały znak krzyżni szabla kreślić starzey lea scarletta słowo zimny gardło okrucha lód stać scarletta wojna dziewczynka potrafić grać va banque scarletta powtarzać imię czuć usta proch smak scarletta miłość dziewczynka potrafić grać va banque,Leonard Luther,Leonard Luther,Leonard Luther,229
175,Scarlet,atlant szał tysiąc młody noga generał lea podnosić góra ręka jankes śmierć dopomóc bóg dworzec tłoka sztandar kobieta pociąg pełny chłopiec żądny krew kwietniowy słońce błyszczeć epolet wiwat południe wiwat starzey lea scarlet słowo zimny gardło okrucha lód stać scarlet wojna dziewczynka potrafić grać va banque jesienny słońce epolet lśnić generał lea dochodzić missourć pensylwania wkraczać starzey lea artyleryjski ogień wkrótka zdławić jankeski szczur góry tennesea zwycięstwo bóg atlanta błogosławić wiwat południe wiwat starzey lea scarlet słowo zimny gardło okrucha lód stać scarlet wojna dziewczynka potrafić grać va banque krew południowy toń miasto próg jankeski ps wejść atlant jankes śmierć dopomóc bóg płoń atlant ogień oszalały sztandar obłazić wygłodzić wsza gwardia opuszczać miasto osłupiały znak krzyżni szabla kreślić starzey lea scarlet słowo zimny gardło okrucha lód stać scarlet wojna dziewczynka potrafić grać va banque scarlet powtarzać imię czuć usta proch smak scarlet miłość dziewczynka potrafić grać va banque,Aleksandra Bacińska,Leonard Luther,Leonard Luther,1457
176,Biała lokomotywa,sunąć poprzez czarny łąka sunąć spalony lasa mijać brama zwęglić szczątki płynąć wspomnienie miasto biały lokomotywa wziąć kraina śmierć żywy zjawa istny cud pośród pusty marny wiersza czarny kurzyć biały lokomotywa czyj czyj piękny hojny gest przysłać bymorze wydostać stąd któż któż umieć żyć bymorze zmartwychstała błagać obudzić jasny zew biały lokomotywa sunąć poprzez czarny łąka sunąć spalony lasa mijać brama zwęglić szczątki płynąć wspomnienie miasto biały lokomotywa brzęczyć pszczoły pluszcz rzekać słońce blask cień drzewo żyć czekać żyć nieść nieść biały lokomotywa czyj czyj piękny hojny gest przysłać bymorze wydostać stąd któż któż umieć żyć bymorze zmartwychstała błagać obudzić jasny zew biały lokomotywa,Edward Stachura,Marek Gałązka,"Marek Gałązka i Grupa Balladowa ""Po Drodze""",205
177,Biała lokomotywa,sunąć poprzez czarny łąka sunąć spalony lasa mijać brama zwęglić szczątki płynąć wspomnienie miasto biały lokomotywa biały lokomotywa wziąć kraina śmierć żywy zjawa istny cud pośród pusty marny wiersza czarny kurzyć biały lokomotywa biały lokomotywa czyj czyj piękny hojny gest przysłać bymorze wydostać stąd biały lokomotywa biały lokomotywa któż któż żyć bymorze zmartwychwstać błagać obudzić jasny zew biały lokomotywa biały lokomotywa sunąć poprzez czarny łąka sunąć spalony lasa mijać brama zwęglić szczątki płynąć wspomnienie miasto biały lokomotywa biały lokomotywa brzęczyć pszczoły pluszcz rzekać słońce blask cień drzewo żyć czekać żyć nieść nieść biały lokomotywa biały lokomotywa,Edward Stachura,Krzysztof Myszkowski,Stare Dobre Małżeństwo,1102
178,Życie to nie teatr,żyto teatr mówić ciągło opowiadać maska coraz coraz mylny zakładać zabawawszystko grać otworzyć zamkniętychdrzwiay grać żyto teatr odpowiadać żyto kolorowy maskarada żyto straszniejszei piękny blednąć blednąć śmierć teatr prawdziwy uronić łza najwyżejezioro góra wznosić brew źle źle dusza ramię ciągło zbudować rano kaleki bankieta artysta wybierać gość niedostępny tylariera tańce alkohol pewnie flirt drzwi otworzyć zamknąć pot cześć wpaść chwila zania spuchnąć atmosfera wódka wypić otema szybki si pozbierać wyjść ulica fontanna zmoczyć łeb wyjść przestworze przecudowny stworzyć wiersza teatr prawdziwy uronić łza najwyżejezioro góra wznosić brew zaraźliwy śmiech grać refren p,Edward Stachura,,,310
179,Życie to nie teatr,żyto teatr mówić ciągło opowiadać maska coraz coraz mylny zakładać zabawa grać otworzyć zamknięty drzwi grać żyto teatr odpowiadać żyto kolorowy maskarada żyto straszny piękny blednąć blednąć śmierć teatr prawdziwy uronić łza najwyżejezioro góra wznosić brew źle źle grać dusza ramię wiyć zbudować rano kaleki bankieta artysta wybierać gość nieodstępny tyraliera flirt alkohol tańce drzwi otworzyć zamknąć pot cześć wpaść chwila zania spuchnąć atmosfera wódka wypić pot cichy pozbierać wyjść ulica fontanna zmoczyć łeb wyjść przestworze przecudowny stworzyć wiersza teatr prawdziwy uronić łza najwyżejezioro góra wznosić brew niezaraźliwy wcal śmiech grać dusza ramię wiyć zbudować rano śmiać wkrąg śmiać świat,E. Stachura,J. Różański,Jacek Różański,662
180,Zapiszę śniegiem w kominie,zabraknąć konto pieniądz kąt zagnieździć bieda rozum głowa pobiec niech powieć sprzedać siebie sprzedać zapisać śnieg komin zapleść dym warkoczyk zania zimać góry spłynąć wrócić zapisać śnieg komin zapleść dym warkoczyk zania zimać góry spłynąć wrócić powrót znaleźć swej głowa rozum paszport odnaleźć szuflada zapytać pewnie pomóc poradzić poradzić zapisać śnieg komin zapleść dym warkoczyk zania zimać góry spłynąć wrócić zapisać śnieg komin zapleść dym warkoczyk zania zimać góry spłynąć wrócić powrót zabraknąć serce nadzieja powrót przypomnieć słowo wyśpiewać nowy bymorze wiedzieć czekać zapisać śnieg komin zapleść dym warkoczyk zania zimać góry spłynąć wrócić zapisać śnieg komin zapleść dym warkoczyk zania zimać góry spłynąć wrócić powrót,,,Robert Kasprzycki,128
181,Zapiszę śniegiem w kominie,zabraknąć konto pieniądz kąt zagnieździć bieda rozum głowa pobiec niech powieć sprzedać siebie sprzedać zapisać śnieg komin zapleść dym warkoczyk zania zimać góry spłynąć wrócić zapisać śnieg komin warkoczyk dym zapleść zania zimać góry spłynąć wrócić powrót znaleźć swej głowa rozum paszport odnaleźć szuflada zapytać pewnie pomóc poradzić poradzić zabraknąć serce nadzieja powrót przypomnieć słowo zaśpiewać nowy bymorze wiedzieć czekać,Robert Kasprzycki,Robert Kasprzycki,Robert Kasprzycki,1162
182,Jak,nocny niebo sunąć biały obłoki las szyja wędrowiec apaszka szamotać wiatr wyciągnąć powyżejezioro gwiaździsty ramię suchy szloch tę dżdżysty noc winny li niewinny sumienie wyrzut żyć umrzeć tyee tyee tyee suchy szloch tę dżdżysty noc lizać rany celn zadany lepić serce proch potrzaskać suchy szloch tę dżdżysty noc pudowy kamień pudowy kamień stanąć stań stań spć wstać suchy szloch tę dżdżysty noc złoty kulać woda świta spuchnąć powieka zorze miły śliczny polana słońce pierś garbić nieść siostra mgławicowy zawodzić śpiew biec koniec pot odpocząć pot odpocząć cudny manowiec cudny manowiec cudny cudny manowiec,Edward Stachura,Krzysztof Myszkowski,Stare Dobre Małżeństwo,347
183,Jak,widzieć powieka ocean łza wypłakać zastygły głęboki dzień serce dzień słyszeć chcieć śmiać dostawać kwiat biec polano dżdżysty poranek goły stopa czuja krewić huczeć pienić czas chcieć uczyć śmiać płakać odchodzić wracać żyć umierać wczorać jutro pojutrze wszędziejski widzieć powieka ocean łza wypłakać zastygły głęboki dzień serce dzień słyszeć chcieć śmiać dostawać kwiat biec polano dżdżysty poranek goły stopa,Sylwester Szweda,Sylwester Szweda,Sylwek Szweda,908
184,Jak,nocny niebo sunąć biały obłoki las szyja wędrowiec apaszka szamotać wiatr wyciągnąć powyżejezioro gwiaździsty ramię suchy szloch tę dżdżysty noc winny niewinny sumienie wyrzut żyć umrzeć tyee tyee tyee suchy szloch tę dżdżysty noc lizać rany celn zadany lepić serce proch potrzaskać suchy szloch tę dżdżysty noc pudowy kamień pudowy kamień stanąć stań stań spć wstać suchy szloch tę dżdżysty noc złoty kulać woda świta spuchnąć powieka zorze miły śliczny polana słońce pierś garbić nieść siostra mgławicowy zawodzić śpiew biec koniec pot odpocząć pot odpocząć cudny manowiec cudny manowiec cudny cudny manowiec,Edward Stachura,Krzysztof Myszkowski,Stare Dobre Małżeństwo,1082
185,Piosenka turystyczna 3,świta okno budzić ptak butelka wionąć nuda chybać pójść położyć zbudzić tamten rudy wyglądać końcówa dawny pospać zrobić zapalić kieliszek flaszka dobry zmartwienie znać kieliszek świta zastać butelka móc wypić dno trzeci raz trzecia pewny starzyć chcieć łożyć wiedzieć dowiedzieć wydziedziczyć napewny wojsko pytać zreszta kieliszek flaszka dobry zmartwienie znać kieliszek świta zastać butelka móc wypić dno kumpel siedzieć góry jeść pić lulka palić zjawiać szkoła chybać koniec wywalić układać kobita naprawda załapać klimat koniec chybać czas żeiwać wyniść kieliszek flaszka dobry zmartwienie znać kieliszek świta zastać butelka móc wypić dno wypić dno wypić dno,,,,320
186,Piosenka Turystyczna III,świta okno budzić ptak butelka wionąć nuda chybać pójść położyć zbudzić tamten rudy wyglądać końcówa dawny pospać zrobić zapalić kieliszek flaszka dobry zmartwienie znać kieliszek świta zastać butelka móc wypić dno trzeci raz trzecia pewny starzyć chcieć łożyć wiedzieć dowiedzieć wydziedziczyć pewny wojsko pytać wiedzieć kumpel siedzieć góry jeść pić lulka palić zjawiać szkoła chybać koniec wywalić układać kobita właścź załapać klimat koniec chybać czas żeiwać wyniść,"K. Jurkiewicz, M. Kamper",K. Jurkiewicz,Słodki Całus od Buby,1253
187,Jaworzyna,letny deszcz dachówka szumieć spać kłaść umieć zasnąć zasnąć padać letny deszcz rzeka most cisnąć tysiąc kropla drążyć pismo szyba szyba kłaść cień zmierzch jaworzyna góry kłaniać spć obłoki szczyt odsłaniać pogoda jutro ładny świta rozchmurzyć jaworzyna płakać śmiać zaczynać pogoda jutro smutny nikt noc ściel lasa mokry gasnąć światły okno domówić samotny noc samotność zły ludzie kryć myśl zamknięty drzwi zamknięty oko senior blisko blisko okno szczekać pies jaworzyna góry kłaniać spć obłoki szczyt odsłaniać pogoda jutro ładny świta rozchmurzyć jaworzyna płakać śmiać zaczynać pogoda jutro smutny nikt,Jerzy Reiser,Jerzy Reiser,Browar Żywiec,241
188,Jaworzyna,letny deszcz dachówka szumieć spać kłaść umieć zasnąć zasnąć padać letny deszcz rzeka most cisnąć tysiąc kropla drążyć pismo szyba szyba kłaść cień zmierzch jaworzyna góry kłaniać spć obłoki szczyt odsłaniać pogoda jutro ładny świta rozchmurzyć jaworzyna płakać śmiać zaczynać pogoda jutro smutny nikt noc ściel lasa mokry gasnąć światły okno domówić samotny noc samotność zły ludzie kryć myśl zamknięty drzwi zamknięty oko senior blisko blisko okno szczekać pies jaworzyna góry kłaniać,Jerzy Reiser,Jerzy Reiser,Browar Żywiec,965
189,Bellonika z miastem,piosenka joanna okno pierwszy tramwaj oddzwonić nowy dzień noc bezsenny kartka biały wątły płatek nieść ołów ciężki treść okno wielki miasto szumieć uciec chcieć ramię góry bezpiyć schronić okno wielki miasto chłód ciało półmrok obiecywać spokojny ciepły senior wojna sprawa przynieść ć paęę smutny data noc bezsenny prześcieradło blady całować włos powolić zmieniać świat okno wielki miasto szumieć uciec chcieć ramię góry bezpiyć schronić okno wielki miasto chłód ciało półmrok obiecywać spokojny ciepły senior,Krzysztof Jurkiewicz,Krzysztof Jurkiewicz,Słodki Całus od Buby,42
190,Bellonika z miastem,piosenka joanna okno pierwszy tramwaj oddzwonić nowy dzień noc bezsenny kartka biały wątły płatek nieść ołów ciężki treść okno wielki miasto szumieć uciec chcieć ramię góry bezpiyć schronić okno wielki miasto chłód ciało półmrok obiecywać bezpieczny ciepły senior wojna sprawa przynieść ć paęę smutny data noc bezsenny prześcieradło blady całować włos powolić zmieniać świat,Krzysztof Jurkiewicz,Krzysztof Jurkiewicz,Słodki Całus od Buby,1282
191,Znów wędrujemy,wędrować ciepły kraj malachitowy łąka morze ptak powrotny umierać wśród pomarańcza rozdroże fioletowoszary łąka niebo rozpinać płynność arkada pejzaż powieka miękko wsiąkać zakrzepnąć sól nagi warga wiczor prąd zatoka noc lizać mór słodki grzywa miękki gruszka brzmieć lato wiatr sparzyć pokrzywa fontanna perłowy noc winogrono gwiazda rozdawać wędrować ciepły ziemia wędrować ciepły kraj malachitowy łąka morze ptak powrotny umierać wśród pomarańcza rozdroże wędrować ciepły kraj malachitowy łąka morze ptak powrotny umierać wśród pomarańcza rozdroże fontanna perłowy noc winogrono gwiazda rozdawać wędrować ciepły ziemia wędrować ciepły kraj malachitowy łąka morze,Krzysztof Kamil Baczyński,Grzegorz Turnau,Grzegorz Turnau,6
